"nrg_bal","siec","unit","geo","time","values","hdd.ind","pop","demand","fechh","fechh.cap"
"FC_OTH_HH_E","TOTAL","KTOE","PT",2013-01-01,2634.808,1.07,10487289,0.27,2588.26793345794,0.000246800477555062
"FC_OTH_HH_E","TOTAL","KTOE","RO",2013-01-01,7721.97,0.93,20020074,0.63,8088.14083548387,0.000404001545423052
"FC_OTH_HH_E","TOTAL","KTOE","SE",2013-01-01,7694.262,0.98,9555893,0.55,7780.62616530612,0.000814222822012147
"FC_OTH_HH_E","TOTAL","KTOE","SI",2013-01-01,1240.442,0.98,2058821,0.63,1256.39054,0.000610247583447031
"FC_OTH_HH_E","TOTAL","KTOE","SK",2013-01-01,2146.977,0.98,5410836,0.67,2176.33362428571,0.000402217628530178
"FC_OTH_HH_E","TOTAL","KTOE","AT",2012-01-01,6677.912,0.99,8408121,0.69,6724.4550230303,0.000799757166081495
"FC_OTH_HH_E","TOTAL","KTOE","BE",2012-01-01,8477.623,1.04,11075889,0.74,8236.33680692308,0.00074362760469368
"FC_OTH_HH_E","TOTAL","KTOE","BG",2012-01-01,2352.559,1.01,7327224,0.53,2340.21388841584,0.000319386153393951
"FC_OTH_HH_E","TOTAL","KTOE","CY",2012-01-01,351.763,1.09,862011,0.35,341.597372018349,0.000396279597381412
"FC_OTH_HH_E","TOTAL","KTOE","CZ",2012-01-01,7115.57,1,10505445,0.68,7115.57,0.000677322093447731
"FC_OTH_HH_E","TOTAL","KTOE","DE",2012-01-01,59188.124,1.01,80327900,0.66,58801.350120396,0.000732016523778115
"FC_OTH_HH_E","TOTAL","KTOE","DK",2012-01-01,4444.48,1.05,5580516,0.63,4311.1456,0.000772535299603119
"FC_OTH_HH_E","TOTAL","KTOE","EE",2012-01-01,970.828,1.07,1325217,0.73,924.464158130841,0.000697594551028881
"FC_OTH_HH_E","TOTAL","KTOE","EL",2012-01-01,5096.015,1.03,11086406,0.54,5015.86408446602,0.000452433735916402
"FC_OTH_HH_E","TOTAL","KTOE","ES",2012-01-01,15559.425,1.04,46818219,0.43,15302.0960480769,0.000326840626895203
"FC_OTH_HH_E","TOTAL","KTOE","EU27_2020",2012-01-01,263188.033,1.03,440552661,0.64,258282.00364699,0.00058626817293697
"FC_OTH_HH_E","TOTAL","KTOE","FI",2012-01-01,5455.636,1.05,5401267,0.67,5281.57523238095,0.00097784005722749
"FC_OTH_HH_E","TOTAL","KTOE","FR",2012-01-01,43930.024,1.02,65276983,0.65,43370.1315372549,0.000664401593701947
"FC_OTH_HH_E","TOTAL","KTOE","HR",2012-01-01,2561.737,0.99,4275984,0.67,2579.0740079798,0.000603153334525994
"FC_OTH_HH_E","TOTAL","KTOE","HU",2012-01-01,6375.847,0.99,9931925,0.72,6422.21679636364,0.000646623569586323
"FC_OTH_HH_E","TOTAL","KTOE","IE",2012-01-01,2993.109,1.05,4589287,0.62,2904.74102,0.000632939500188156
"FC_OTH_HH_E","TOTAL","KTOE","IT",2012-01-01,34348.336,1,59394207,0.66,34348.336,0.000578311214762073
"FC_OTH_HH_E","TOTAL","KTOE","LT",2012-01-01,1534.798,1.04,3003641,0.71,1492.88620846154,0.000497025512856409
"FC_OTH_HH_E","TOTAL","KTOE","LU",2012-01-01,491.101,1.01,524853,0.84,487.016595643564,0.000927910473301218
"FC_OTH_HH_E","TOTAL","KTOE","LV",2012-01-01,1376.24,1.05,2044813,0.66,1332.98674285714,0.000651886868313701
"FC_OTH_HH_E","TOTAL","KTOE","MT",2012-01-01,72.178,1.31,417546,0.2,68.7619419847328,0.000164681117732496
"FC_OTH_HH_E","TOTAL","KTOE","NL",2012-01-01,10866.787,1.04,16730348,0.63,10603.4763919231,0.000633786959597199
"FC_OTH_HH_E","TOTAL","KTOE","PL",2012-01-01,20812.831,1.03,38063792,0.65,20418.8016752427,0.000536436350725191
"FC_OTH_HH_E","TOTAL","KTOE","PT",2012-01-01,2694.958,1.1,10542398,0.27,2628.80903090909,0.000249355889514804
"FC_OTH_HH_E","TOTAL","KTOE","RO",2012-01-01,8060.582,1.01,20095996,0.63,8010.30312217822,0.000398601946486167
"FC_OTH_HH_E","TOTAL","KTOE","SE",2012-01-01,8053.653,1.05,9482855,0.55,7842.72399285714,0.000827042488033102
"FC_OTH_HH_E","TOTAL","KTOE","SI",2012-01-01,1255.831,0.97,2055496,0.63,1280.30028443299,0.000622866833325382
"FC_OTH_HH_E","TOTAL","KTOE","SK",2012-01-01,2070.086,0.99,5404322,0.67,2084.09567292929,0.000385634992313429
"FC_OTH_HH_E","TOTAL","KTOE","AT",2011-01-01,6551.691,0.94,8375164,0.69,6840.2441993617,0.000816729582771358
