"geo","time","absolute","relative"
"PT",2014-01-01,15.757782,93.1491565740876
"RO",2014-01-01,21.685625,154.589026740957
"SE",2014-01-01,31.219674,78.1866566891236
"SI",2014-01-01,4.613197,127.016035330591
"SK",2014-01-01,9.956833,135.147542274187
"AT",2013-01-01,27.872717,90.8807201668364
"BE",2013-01-01,36.54976,97.7967361094945
"BG",2013-01-01,8.77546,224.07127007918
"CY",2013-01-01,1.618502,92.0487286087209
"CZ",2013-01-01,24.211218,151.922008507455
"DE",2013-01-01,221.009428,82.2231644619708
"DK",2013-01-01,14.12475,56.662368942134
"EE",2013-01-01,2.892674,174.6762720257
"EL",2013-01-01,15.342073,84.1129801577207
"ES",2013-01-01,81.0661,79.6589094330827
"EU27_2020",2013-01-01,980.544833,88.3787033197237
"FI",2013-01-01,24.681031,130.916835742834
"FR",2013-01-01,156.294622,75.9739618600505
"HR",2013-01-01,6.573779,148.254088175132
"HU",2013-01-01,16.584462,162.266481809616
"IE",2013-01-01,10.868017,63.4795908294681
"IT",2013-01-01,118.554034,76.7180084980342
"LT",2013-01-01,4.782404,149.612360903855
"LU",2013-01-01,4.126222,91.828912756099
"LV",2013-01-01,3.85506,191.907646815777
"MT",2013-01-01,0.525871,69.9315141360142
"NL",2013-01-01,51.922149,80.928855538464
"PL",2013-01-01,63.246879,162.681386479056
"PT",2013-01-01,15.841895,94.3882360090945
"RO",2013-01-01,21.796454,160.986208327886
"SE",2013-01-01,32.029129,82.3457716623089
"SI",2013-01-01,4.810282,136.108597541134
"SK",2013-01-01,10.589861,147.655824952349
"AT",2012-01-01,27.222206,88.782326117174
"BE",2012-01-01,35.363451,95.0570609268127
"BG",2012-01-01,9.219703,234.094707308713
"CY",2012-01-01,1.769392,94.0355650981601
"CZ",2012-01-01,24.412925,153.117361905126
"DE",2012-01-01,215.781993,80.6296697554617
"DK",2012-01-01,14.294405,57.8781540250577
"EE",2012-01-01,2.895432,177.39226329784
"EL",2012-01-01,17.061316,91.1852960354024
"ES",2012-01-01,83.532504,80.9042877599734
"EU27_2020",2012-01-01,982.450292,88.5136571635758
"FI",2012-01-01,25.150425,132.203733286235
"FR",2012-01-01,153.582605,75.0859246981813
"HR",2012-01-01,6.655286,149.547579028735
"HU",2012-01-01,16.472557,164.082857447379
"IE",2012-01-01,10.735293,63.4988477654457
"IT",2012-01-01,121.816474,77.3778835005467
"LT",2012-01-01,4.901851,158.792691815546
"LU",2012-01-01,4.170812,95.7653768793453
"LV",2012-01-01,4.026968,204.495587085242
"MT",2012-01-01,0.50688,71.0951526032316
"NL",2012-01-01,51.821647,80.6670573804431
"PL",2012-01-01,64.426927,167.582244850821
"PT",2012-01-01,16.034895,94.6566600118299
"RO",2012-01-01,22.762648,174.462249718716
"SE",2012-01-01,32.574044,84.7414678511483
"SI",2012-01-01,4.917705,137.715736324914
"SK",2012-01-01,10.339948,145.115152399745
"AT",2011-01-01,27.184223,89.2617316778369
"BE",2011-01-01,35.212012,95.3496405028411
"BG",2011-01-01,9.252107,236.690944348084
"CY",2011-01-01,1.922835,98.6681479276885
"CZ",2011-01-01,24.455588,152.180872777236
"DE",2011-01-01,211.711678,79.439813233305
"DK",2011-01-01,14.800815,60.0643424128303
"EE",2011-01-01,2.847852,180.109285470345
"EL",2011-01-01,18.924799,93.9769636055756
"ES",2011-01-01,87.058307,81.8237857705237
"EU27_2020",2011-01-01,984.498596,88.047090566717
"FI",2011-01-01,24.989989,129.524558105447
"FR",2011-01-01,149.225091,73.1840047057446
"HR",2011-01-01,6.964914,152.943266460544
"HU",2011-01-01,17.493258,172.05851457258
"IE",2011-01-01,11.034559,65.2348073973967
"IT",2011-01-01,123.184484,75.9143821950956
"LT",2011-01-01,4.78391,160.929195204327
"LU",2011-01-01,4.292123,100.176751350784
"LV",2011-01-01,3.868815,210.290256828373
"MT",2011-01-01,0.493219,72.0280098136573
"NL",2011-01-01,51.67641,79.612156486962
"PL",2011-01-01,64.672259,170.449148258433
"PT",2011-01-01,17.356344,98.3004152028468
"RO",2011-01-01,22.735909,177.813354668519
"SE",2011-01-01,32.541064,84.1576339391933
"SI",2011-01-01,5.050294,137.696110106851
"SK",2011-01-01,10.765738,153.142992890328
"AT",2010-01-01,28.021834,94.7014396245175
"BE",2010-01-01,37.943121,104.486177648792
"BG",2010-01-01,8.829009,230.613348866002
"CY",2010-01-01,1.929418,99.4032972694487
"CZ",2010-01-01,25.253396,159.911778562419
"DE",2010-01-01,223.022923,86.9688515832163
"DK",2010-01-01,15.522413,63.834793107901
"EE",2010-01-01,2.909053,197.343006966916
"EL",2010-01-01,19.055752,85.0232549838482
"ES",2010-01-01,89.571722,83.5004852201296
"EU27_2020",2010-01-01,1023.977025,93.2557847638067
"FI",2010-01-01,26.205114,139.282960301473
"FR",2010-01-01,153.973524,77.1685324782525
"HR",2010-01-01,7.213585,158.269011365132
"HU",2010-01-01,17.450072,174.826246470929
"IE",2010-01-01,11.911774,71.1732395014194
"IT",2010-01-01,128.505894,79.7539483220601
"LT",2010-01-01,4.805709,171.42552918263
"LU",2010-01-01,4.326,102.021805215234
"LV",2010-01-01,4.119891,229.680334494774
"MT",2010-01-01,0.503027,73.8030752076059
"NL",2010-01-01,55.33626,86.5728808627209
"PL",2010-01-01,66.282763,183.005047890491
"PT",2010-01-01,18.147684,101.038935297877
"RO",2010-01-01,22.539747,179.639227144158
"SE",2010-01-01,33.991954,90.71894702681
"SI",2010-01-01,5.066808,139.336209812479
"SK",2010-01-01,11.538578,168.465823065726
"AT",2009-01-01,26.40047,90.8610236551087
"BE",2009-01-01,34.817793,98.6260676551993
"BG",2009-01-01,8.59166,227.873730890419
"CY",2009-01-01,1.940619,101.995049036612
"CZ",2009-01-01,24.943388,161.794599363028
"DE",2009-01-01,208.247304,84.6013870257046
"DK",2009-01-01,14.795706,61.9847062810825
"EE",2009-01-01,2.770169,192.514559328394
"EL",2009-01-01,20.584623,86.8129348370219
"ES",2009-01-01,88.136776,82.2967362463995
"EU27_2020",2009-01-01,980.572592,91.2659771347672
"FI",2009-01-01,23.820474,130.642047364752
"FR",2009-01-01,149.53863,76.406870876979
"HR",2009-01-01,7.176434,155.484505571408
"HU",2009-01-01,17.068372,172.854425880204
"IE",2009-01-01,11.785071,71.6520485613742
"IT",2009-01-01,126.173537,79.6480515843818
"LT",2009-01-01,4.642287,168.330541293186
"LU",2009-01-01,4.079206,99.8190671952234
