"geo","time","share"
"EL",2016-01-01,29.1
"ES",2016-01-01,10.1
"EU",2016-01-01,8.7
"EU27_2007",2016-01-01,8.7
"EU27_2020",2016-01-01,9
"FI",2016-01-01,1.7
"FR",2016-01-01,5
"HR",2016-01-01,9.3
"HU",2016-01-01,9.2
"IE",2016-01-01,5.9
"IT",2016-01-01,16.1
"LT",2016-01-01,29.3
"LU",2016-01-01,1.7
"LV",2016-01-01,10.6
"MT",2016-01-01,6.6
"NL",2016-01-01,2.6
"PL",2016-01-01,7.1
"PT",2016-01-01,22.5
"RO",2016-01-01,13.8
"SE",2016-01-01,2.6
"SI",2016-01-01,4.8
"SK",2016-01-01,5.1
"AT",2017-01-01,2.4
"BE",2017-01-01,5.8
"BG",2017-01-01,36.5
"CH",2017-01-01,0.4
"CY",2017-01-01,22.9
"CZ",2017-01-01,3.1
"DE",2017-01-01,3.3
"DK",2017-01-01,2.7
"EA18",2017-01-01,7.8
"EE",2017-01-01,2.9
"EL",2017-01-01,25.7
"ES",2017-01-01,8
"EU",2017-01-01,7.8
"EU27_2007",2017-01-01,7.8
"EU27_2020",2017-01-01,8.1
"FI",2017-01-01,2
"FR",2017-01-01,4.9
"HR",2017-01-01,7.4
"HU",2017-01-01,6.8
"IE",2017-01-01,4.4
"IT",2017-01-01,15.2
"LT",2017-01-01,28.9
"LU",2017-01-01,1.9
"LV",2017-01-01,9.7
"MT",2017-01-01,6.3
"NL",2017-01-01,2.4
"PL",2017-01-01,6
"PT",2017-01-01,20.4
"RO",2017-01-01,11.3
"SE",2017-01-01,2.1
"SI",2017-01-01,3.9
"SK",2017-01-01,4.3
"AT",2018-01-01,1.6
"BE",2018-01-01,5.2
"BG",2018-01-01,33.7
"CH",2018-01-01,0.6
"CY",2018-01-01,21.9
"CZ",2018-01-01,2.7
"DE",2018-01-01,2.7
"DK",2018-01-01,3
"EA18",2018-01-01,7.4
"EE",2018-01-01,2.3
"EL",2018-01-01,22.7
"ES",2018-01-01,9.1
"EU",2018-01-01,7.3
"EU27_2007",2018-01-01,7.3
"EU27_2020",2018-01-01,7.6
"FI",2018-01-01,1.7
"FR",2018-01-01,5
"HR",2018-01-01,7.7
"HU",2018-01-01,6.1
"IE",2018-01-01,4.4
"IT",2018-01-01,14.1
"LT",2018-01-01,27.9
"LU",2018-01-01,2.1
"LV",2018-01-01,7.5
"MT",2018-01-01,7.6
"NL",2018-01-01,2.2
"PL",2018-01-01,5.1
"PT",2018-01-01,19.4
"RO",2018-01-01,9.6
"SE",2018-01-01,2.3
"SI",2018-01-01,3.3
"SK",2018-01-01,4.8
"AT",2019-01-01,1.8
"BE",2019-01-01,3.9
"BG",2019-01-01,30.1
"CH",2019-01-01,0.3
"CY",2019-01-01,21
"CZ",2019-01-01,2.8
"DE",2019-01-01,2.5
"DK",2019-01-01,2.8
"EA18",2019-01-01,6.7
"EE",2019-01-01,2.5
"EL",2019-01-01,17.9
"ES",2019-01-01,7.5
"EU",2019-01-01,7
"EU27_2007",2019-01-01,6.9
"EU27_2020",2019-01-01,6.9
"FI",2019-01-01,1.8
"FR",2019-01-01,6.2
"HR",2019-01-01,6.6
"HU",2019-01-01,5.4
"IE",2019-01-01,4.9
"IT",2019-01-01,11.1
"LT",2019-01-01,26.7
"LU",2019-01-01,2.4
"LV",2019-01-01,8
"MT",2019-01-01,7.8
"NL",2019-01-01,3
"PL",2019-01-01,4.2
"PT",2019-01-01,18.9
"RO",2019-01-01,9.3
"SE",2019-01-01,1.9
"SI",2019-01-01,2.3
"SK",2019-01-01,7.8
"AT",2020-01-01,1.5
"BE",2020-01-01,4.1
"BG",2020-01-01,27.5
"CH",2020-01-01,0.2
"CY",2020-01-01,20.9
"CZ",2020-01-01,2.2
"DE",2020-01-01,9
"DK",2020-01-01,3
"EE",2020-01-01,2.7
"EL",2020-01-01,16.7
"ES",2020-01-01,10.9
"EU27_2020",2020-01-01,8.2
"FI",2020-01-01,1.8
"FR",2020-01-01,6.5
"HR",2020-01-01,5.7
"HU",2020-01-01,4.2
"IE",2020-01-01,4.2
"LT",2020-01-01,23.1
"LU",2020-01-01,3.6
"LV",2020-01-01,6
"MT",2020-01-01,7.2
"NL",2020-01-01,2.4
"PL",2020-01-01,3.2
"PT",2020-01-01,17.5
"RO",2020-01-01,10
"SE",2020-01-01,2.7
"SI",2020-01-01,2.8
"SK",2020-01-01,5.7
