"hhtyp","incgrp","unit","sex","age","geo","time","share"
"TOTAL","TOTAL","PC","T","TOTAL","SK",2014-01-01,7
"TOTAL","TOTAL","PC","T","TOTAL","AT",2013-01-01,12.5
"TOTAL","TOTAL","PC","T","TOTAL","BE",2013-01-01,18.1
"TOTAL","TOTAL","PC","T","TOTAL","BG",2013-01-01,12.9
"TOTAL","TOTAL","PC","T","TOTAL","CH",2013-01-01,11.5
"TOTAL","TOTAL","PC","T","TOTAL","CY",2013-01-01,31.1
"TOTAL","TOTAL","PC","T","TOTAL","CZ",2013-01-01,10
"TOTAL","TOTAL","PC","T","TOTAL","DE",2013-01-01,13.1
"TOTAL","TOTAL","PC","T","TOTAL","DK",2013-01-01,16.6
"TOTAL","TOTAL","PC","T","TOTAL","EA",2013-01-01,16.2
"TOTAL","TOTAL","PC","T","TOTAL","EA18",2013-01-01,16.3
"TOTAL","TOTAL","PC","T","TOTAL","EE",2013-01-01,17.5
"TOTAL","TOTAL","PC","T","TOTAL","EL",2013-01-01,14
"TOTAL","TOTAL","PC","T","TOTAL","ES",2013-01-01,16.7
"TOTAL","TOTAL","PC","T","TOTAL","EU",2013-01-01,15.6
"TOTAL","TOTAL","PC","T","TOTAL","EU27_2007",2013-01-01,15.7
"TOTAL","TOTAL","PC","T","TOTAL","EU27_2020",2013-01-01,15.6
"TOTAL","TOTAL","PC","T","TOTAL","FI",2013-01-01,5.2
"TOTAL","TOTAL","PC","T","TOTAL","FR",2013-01-01,12.8
"TOTAL","TOTAL","PC","T","TOTAL","HR",2013-01-01,13.1
"TOTAL","TOTAL","PC","T","TOTAL","HU",2013-01-01,26.7
"TOTAL","TOTAL","PC","T","TOTAL","IE",2013-01-01,14.3
"TOTAL","TOTAL","PC","T","TOTAL","IT",2013-01-01,22.9
"TOTAL","TOTAL","PC","T","TOTAL","LT",2013-01-01,19.9
"TOTAL","TOTAL","PC","T","TOTAL","LU",2013-01-01,15.3
"TOTAL","TOTAL","PC","T","TOTAL","LV",2013-01-01,27.7
"TOTAL","TOTAL","PC","T","TOTAL","MT",2013-01-01,11.7
"TOTAL","TOTAL","PC","T","TOTAL","NL",2013-01-01,15.6
"TOTAL","TOTAL","PC","T","TOTAL","PL",2013-01-01,10.1
"TOTAL","TOTAL","PC","T","TOTAL","PT",2013-01-01,31.9
"TOTAL","TOTAL","PC","T","TOTAL","RO",2013-01-01,16.2
"TOTAL","TOTAL","PC","T","TOTAL","SE",2013-01-01,7.7
"TOTAL","TOTAL","PC","T","TOTAL","SI",2013-01-01,27
"TOTAL","TOTAL","PC","T","TOTAL","SK",2013-01-01,7.5
"TOTAL","TOTAL","PC","T","TOTAL","AT",2012-01-01,11.8
"TOTAL","TOTAL","PC","T","TOTAL","BE",2012-01-01,18.7
"TOTAL","TOTAL","PC","T","TOTAL","BG",2012-01-01,13.8
"TOTAL","TOTAL","PC","T","TOTAL","CH",2012-01-01,12.8
"TOTAL","TOTAL","PC","T","TOTAL","CY",2012-01-01,30
"TOTAL","TOTAL","PC","T","TOTAL","CZ",2012-01-01,10.5
"TOTAL","TOTAL","PC","T","TOTAL","DE",2012-01-01,13.5
"TOTAL","TOTAL","PC","T","TOTAL","DK",2012-01-01,17.6
"TOTAL","TOTAL","PC","T","TOTAL","EA",2012-01-01,15.2
"TOTAL","TOTAL","PC","T","TOTAL","EA18",2012-01-01,15.2
"TOTAL","TOTAL","PC","T","TOTAL","EE",2012-01-01,19.4
"TOTAL","TOTAL","PC","T","TOTAL","EL",2012-01-01,14.7
"TOTAL","TOTAL","PC","T","TOTAL","ES",2012-01-01,12
"TOTAL","TOTAL","PC","T","TOTAL","EU",2012-01-01,15.1
"TOTAL","TOTAL","PC","T","TOTAL","EU27_2007",2012-01-01,15.1
"TOTAL","TOTAL","PC","T","TOTAL","EU27_2020",2012-01-01,14.8
"TOTAL","TOTAL","PC","T","TOTAL","FI",2012-01-01,6
"TOTAL","TOTAL","PC","T","TOTAL","FR",2012-01-01,12.8
"TOTAL","TOTAL","PC","T","TOTAL","HR",2012-01-01,13.3
"TOTAL","TOTAL","PC","T","TOTAL","HU",2012-01-01,24.7
"TOTAL","TOTAL","PC","T","TOTAL","IE",2012-01-01,13
"TOTAL","TOTAL","PC","T","TOTAL","IT",2012-01-01,21.4
"TOTAL","TOTAL","PC","T","TOTAL","LT",2012-01-01,17.6
"TOTAL","TOTAL","PC","T","TOTAL","LU",2012-01-01,17.1
"TOTAL","TOTAL","PC","T","TOTAL","LV",2012-01-01,28.2
"TOTAL","TOTAL","PC","T","TOTAL","MT",2012-01-01,10.8
"TOTAL","TOTAL","PC","T","TOTAL","NL",2012-01-01,16.2
"TOTAL","TOTAL","PC","T","TOTAL","PL",2012-01-01,10.5
"TOTAL","TOTAL","PC","T","TOTAL","PT",2012-01-01,22
"TOTAL","TOTAL","PC","T","TOTAL","RO",2012-01-01,15.5
"TOTAL","TOTAL","PC","T","TOTAL","SE",2012-01-01,7.8
"TOTAL","TOTAL","PC","T","TOTAL","SI",2012-01-01,31.5
"TOTAL","TOTAL","PC","T","TOTAL","SK",2012-01-01,8.8
"TOTAL","TOTAL","PC","T","TOTAL","AT",2011-01-01,13.9
"TOTAL","TOTAL","PC","T","TOTAL","BE",2011-01-01,21.2
"TOTAL","TOTAL","PC","T","TOTAL","BG",2011-01-01,14.9
"TOTAL","TOTAL","PC","T","TOTAL","CH",2011-01-01,10.6
"TOTAL","TOTAL","PC","T","TOTAL","CY",2011-01-01,29.8
"TOTAL","TOTAL","PC","T","TOTAL","CZ",2011-01-01,11.9
"TOTAL","TOTAL","PC","T","TOTAL","DE",2011-01-01,13.7
"TOTAL","TOTAL","PC","T","TOTAL","DK",2011-01-01,16.3
"TOTAL","TOTAL","PC","T","TOTAL","EA",2011-01-01,15.8
"TOTAL","TOTAL","PC","T","TOTAL","EA18",2011-01-01,15.9
"TOTAL","TOTAL","PC","T","TOTAL","EE",2011-01-01,19.2
"TOTAL","TOTAL","PC","T","TOTAL","EL",2011-01-01,15.3
"TOTAL","TOTAL","PC","T","TOTAL","ES",2011-01-01,16.1
"TOTAL","TOTAL","PC","T","TOTAL","EU",2011-01-01,15.6
"TOTAL","TOTAL","PC","T","TOTAL","EU27_2007",2011-01-01,15.6
