"nrg_bal","unit","geo","time","RA000","RA200","RA410","RA600","TOTAL","share","sharenobiom"
"FC_OTH_HH_E","KTOE","IT",2008-01-01,7728.867,2.317,52.092,0,33611.748,23,0.2
"FC_OTH_HH_E","KTOE","LT",2008-01-01,573.063,0,0,0,1551.803,36.9,0
"FC_OTH_HH_E","KTOE","LU",2008-01-01,16.354,0,0.524,0.408,512.071,3.2,0.2
"FC_OTH_HH_E","KTOE","LV",2008-01-01,720.55,0,0,0,1451.54,49.6,0
"FC_OTH_HH_E","KTOE","MT",2008-01-01,0,0,0,0,70.789,0,0
"FC_OTH_HH_E","KTOE","NL",2008-01-01,423.306,0,16.17,12.526,11019.502,3.8,0.3
"FC_OTH_HH_E","KTOE","PL",2008-01-01,2457.772,9.602,0,0,19668.123,12.5,0
"FC_OTH_HH_E","KTOE","PT",2008-01-01,1178.943,0,18.152,0,3117.719,37.8,0.6
"FC_OTH_HH_E","KTOE","RO",2008-01-01,3431.642,8.24,0,0,8070.214,42.5,0.1
"FC_OTH_HH_E","KTOE","SE",2008-01-01,693.914,0,9.458,0,6947.482,10,0.1
"FC_OTH_HH_E","KTOE","SI",2008-01-01,562.949,0,6.186,5.34,1354.045,41.6,0.9
"FC_OTH_HH_E","KTOE","SK",2008-01-01,35.493,0,0,0,2130.687,1.7,0
"FC_OTH_HH_E","KTOE","AT",2007-01-01,1635.954,0,71.871,52.912,6267.338,26.1,2
"FC_OTH_HH_E","KTOE","BE",2007-01-01,360.92,0,4.06,0,8319.452,4.3,0
"FC_OTH_HH_E","KTOE","BG",2007-01-01,607.027,0,0,0,2061.67,29.4,0
"FC_OTH_HH_E","KTOE","CY",2007-01-01,52.565,0.215,45.667,0,339.644,15.5,13.5
"FC_OTH_HH_E","KTOE","CZ",2007-01-01,1314.304,0,2.929,19.553,6414.496,20.5,0.4
"FC_OTH_HH_E","KTOE","DE",2007-01-01,6184.014,4.06,317.02,277.252,55653.719,11.1,1.1
"FC_OTH_HH_E","KTOE","DK",2007-01-01,995.624,0,8.551,69.504,4515.458,22,1.7
"FC_OTH_HH_E","KTOE","EE",2007-01-01,378.857,0,0,0,961.519,39.4,0
"FC_OTH_HH_E","KTOE","EL",2007-01-01,986.505,0.191,181.881,0,5421.205,18.2,3.4
"FC_OTH_HH_E","KTOE","ES",2007-01-01,2107.418,3.917,67.148,0,15672.872,13.4,0.5
"FC_OTH_HH_E","KTOE","EU27_2020",2007-01-01,40075.635,26.034,829.298,881.22,249421.25,16.1,0.7
"FC_OTH_HH_E","KTOE","FI",2007-01-01,1150.497,0,0.621,0,5124.068,22.5,0
"FC_OTH_HH_E","KTOE","FR",2007-01-01,6293.726,0,37.332,433.713,40421.133,15.6,1.2
"FC_OTH_HH_E","KTOE","HR",2007-01-01,1065.341,0,2.269,8.472,2530.131,42.1,0.4
"FC_OTH_HH_E","KTOE","HU",2007-01-01,1102.083,0,2.412,0,6117.605,18,0
"FC_OTH_HH_E","KTOE","IE",2007-01-01,31.398,0,1.388,6.805,3213.685,1,0.3
"FC_OTH_HH_E","KTOE","IT",2007-01-01,6555.995,2.317,40.675,0,32339.575,20.3,0.1
"FC_OTH_HH_E","KTOE","LT",2007-01-01,552.307,0,0,0,1503.571,36.7,0
"FC_OTH_HH_E","KTOE","LU",2007-01-01,14.685,0,0.405,0.233,502.277,2.9,0.1
"FC_OTH_HH_E","KTOE","LV",2007-01-01,726.521,0,0,0,1457.706,49.8,0
"FC_OTH_HH_E","KTOE","MT",2007-01-01,0,0,0,0,70.808,0,0
"FC_OTH_HH_E","KTOE","NL",2007-01-01,415.265,0,15.238,8.857,9972.12,4.2,0.2
"FC_OTH_HH_E","KTOE","PL",2007-01-01,2444.755,8.527,0,0,19366.034,12.6,0
"FC_OTH_HH_E","KTOE","PT",2007-01-01,1176.221,0,15.429,0,3220.727,36.5,0.5
"FC_OTH_HH_E","KTOE","RO",2007-01-01,2687.948,6.807,0,0,7519.256,35.7,0.1
"FC_OTH_HH_E","KTOE","SE",2007-01-01,618.621,0,8.598,0,7052.974,8.8,0.1
"FC_OTH_HH_E","KTOE","SI",2007-01-01,577.842,0,5.804,3.919,1301.505,44.4,0.7
"FC_OTH_HH_E","KTOE","SK",2007-01-01,39.242,0,0,0,2080.702,1.9,0
"FC_OTH_HH_E","KTOE","AT",2006-01-01,1591.989,0,71.274,41.439,6514.208,24.4,1.7
"FC_OTH_HH_E","KTOE","BE",2006-01-01,212.549,0,2.914,0,8987.051,2.4,0
"FC_OTH_HH_E","KTOE","BG",2006-01-01,635.02,0,0,0,2158.268,29.4,0
"FC_OTH_HH_E","KTOE","CY",2006-01-01,42.395,0,36.949,0,328.301,12.9,11.3
"FC_OTH_HH_E","KTOE","CZ",2006-01-01,1258.578,0,2.336,14.65,6786.785,18.5,0.3
"FC_OTH_HH_E","KTOE","DE",2006-01-01,5851.193,4.275,285.206,221.53,64673.494,9,0.8
"FC_OTH_HH_E","KTOE","DK",2006-01-01,850.268,0,7.954,70.149,4514.728,18.8,1.7
"FC_OTH_HH_E","KTOE","EE",2006-01-01,289.171,0,0,0,881.169,32.8,0
"FC_OTH_HH_E","KTOE","EL",2006-01-01,870.02,0.191,167.789,0,5573.229,15.6,3
"FC_OTH_HH_E","KTOE","ES",2006-01-01,2083.57,2.603,49.917,0,15629.02,13.3,0.3
"FC_OTH_HH_E","KTOE","EU27_2020",2006-01-01,37250.421,25.986,726.141,640.311,265601.376,14,0.5
"FC_OTH_HH_E","KTOE","FI",2006-01-01,1140.346,0,0.621,0,5122.043,22.3,0
"FC_OTH_HH_E","KTOE","FR",2006-01-01,6413.09,0,29.689,271.765,42393.288,15.1,0.7
"FC_OTH_HH_E","KTOE","HR",2006-01-01,1100.666,0,1.863,5.51,2659.281,41.4,0.3
"FC_OTH_HH_E","KTOE","HU",2006-01-01,1024.291,0,1.911,0,6713.445,15.3,0
"FC_OTH_HH_E","KTOE","IE",2006-01-01,22.31,0,0.618,4.913,3260.392,0.7,0.2
"FC_OTH_HH_E","KTOE","IT",2006-01-01,4726.354,2.317,27.109,0,32423.683,14.6,0.1
"FC_OTH_HH_E","KTOE","LT",2006-01-01,574.162,0,0,0,1568.999,36.6,0
"FC_OTH_HH_E","KTOE","LU",2006-01-01,16.199,0,0.296,0.165,516.411,3.1,0.1
"FC_OTH_HH_E","KTOE","LV",2006-01-01,745.08,0,0,0,1480.648,50.3,0
"FC_OTH_HH_E","KTOE","MT",2006-01-01,0,0,0,0,73.039,0,0
"FC_OTH_HH_E","KTOE","NL",2006-01-01,413.089,0,14.426,7.102,10844.837,3.8,0.2
"FC_OTH_HH_E","KTOE","PL",2006-01-01,2506.329,10.39,0,0,20469.408,12.2,0.1
"FC_OTH_HH_E","KTOE","PT",2006-01-01,1175.026,0,14.235,0,3213.935,36.6,0.4
"FC_OTH_HH_E","KTOE","RO",2006-01-01,2577.123,6.21,0,0,7854.717,32.8,0.1
"FC_OTH_HH_E","KTOE","SE",2006-01-01,606.924,0,5.756,0,7316.724,8.3,0.1
"FC_OTH_HH_E","KTOE","SI",2006-01-01,499.075,0,5.278,3.088,1334.128,37.4,0.6
"FC_OTH_HH_E","KTOE","SK",2006-01-01,25.604,0,0,0,2310.145,1.1,0
"FC_OTH_HH_E","KTOE","AT",2005-01-01,1502.234,0,55.045,41.238,6580.888,22.8,1.5
"FC_OTH_HH_E","KTOE","BE",2005-01-01,194.492,0,2.388,0,9977.4,1.9,0
"FC_OTH_HH_E","KTOE","BG",2005-01-01,599.766,0,0,0,2089.666,28.7,0
"FC_OTH_HH_E","KTOE","CY",2005-01-01,35.206,0,35.206,0,317.142,11.1,11.1
"FC_OTH_HH_E","KTOE","CZ",2005-01-01,1202.201,0,1.863,10.671,6665.539,18,0.2
"FC_OTH_HH_E","KTOE","DE",2005-01-01,4935.249,7.022,242.07,184.126,63683.413,7.7,0.7
"FC_OTH_HH_E","KTOE","DK",2005-01-01,770.23,0,7.452,62.936,4514.564,17.1,1.6
"FC_OTH_HH_E","KTOE","EE",2005-01-01,294.784,0,0,0,889.167,33.2,0
"FC_OTH_HH_E","KTOE","EL",2005-01-01,857.313,0.167,155.107,0,5573.93,15.4,2.8
"FC_OTH_HH_E","KTOE","ES",2005-01-01,2066.444,1.911,41.365,0,15186.489,13.6,0.3
"FC_OTH_HH_E","KTOE","EU27_2020",2005-01-01,35749.737,26.201,626.984,453.592,267096.457,13.4,0.4
"FC_OTH_HH_E","KTOE","FI",2005-01-01,1106.764,0,0.478,0,5020.097,22,0
"FC_OTH_HH_E","KTOE","FR",2005-01-01,6787.308,0,22.475,138.196,43009,15.8,0.4
"FC_OTH_HH_E","KTOE","HR",2005-01-01,1196.876,0,1.6,5.25,2820.426,42.4,0.2
"FC_OTH_HH_E","KTOE","HU",2005-01-01,951.323,0,1.887,0,6969.275,13.7,0
"FC_OTH_HH_E","KTOE","IE",2005-01-01,19.765,0,0.461,3.352,3242.776,0.6,0.1
"FC_OTH_HH_E","KTOE","IT",2005-01-01,3928.738,2.317,21.281,0,33921.569,11.6,0.1
"FC_OTH_HH_E","KTOE","LT",2005-01-01,555.579,0,0,0,1506.591,36.9,0
"FC_OTH_HH_E","KTOE","LU",2005-01-01,16.057,0,0.234,0.132,525.5,3.1,0.1
"FC_OTH_HH_E","KTOE","LV",2005-01-01,769.896,0,0,0,1503.944,51.2,0
"FC_OTH_HH_E","KTOE","MT",2005-01-01,0,0,0,0,72.088,0,0
"FC_OTH_HH_E","KTOE","NL",2005-01-01,393.171,0,13.734,5.309,10737.765,3.7,0.2
"FC_OTH_HH_E","KTOE","PL",2005-01-01,2414.398,9.219,0,0,19469.163,12.4,0
"FC_OTH_HH_E","KTOE","PT",2005-01-01,1177.892,0,13.519,0,3218.989,36.6,0.4
"FC_OTH_HH_E","KTOE","RO",2005-01-01,2737.843,5.565,0,0,7991.34,34.3,0.1
"FC_OTH_HH_E","KTOE","SE",2005-01-01,638.202,0,5.899,0,7640.433,8.4,0.1
"FC_OTH_HH_E","KTOE","SI",2005-01-01,562.714,0,4.92,2.382,1428.841,39.4,0.5
"FC_OTH_HH_E","KTOE","SK",2005-01-01,35.292,0,0,0,2540.462,1.4,0
